customer_id,consent_id,created_datetime,month,adr_provider,data_holder,product_type,data_cluster_requested,customer_segment,channel,device,authentication_method,redirect_type,otp_sent,otp_success,consent_status,drop_off_stage,session_duration_seconds,completion_time_seconds,completed_datetime,consent_duration_days,cdr_standard_version,error_reason
100001,CONS-2025-000001,2025-05-27 13:08:00,2025-05,Basiq,Westpac,Savings Account,Accounts + Transactions,Small Business,Mobile App,iOS,Password,OAuth Redirect,Y,Y,Completed,Completed,298,254,2025-05-27 13:12:14,90,v1.28,
100002,CONS-2025-000002,2025-04-28 17:47:00,2025-04,Cuscal,ANZ,Home Loan,Full Banking Data,High Net Worth,Mobile App,iOS,Biometric,App-to-App,Y,Y,Completed,Completed,301,238,2025-04-28 17:50:58,365,v1.27,
100003,CONS-2025-000003,2025-06-13 23:20:00,2025-06,Regional Australia Bank,NAB,Savings Account,Accounts + Balances,Retail,Mobile App,iOS,Biometric,App-to-App,Y,N,Abandoned,OTP,700,,,180,v1.28,OTP not received
100004,CONS-2025-000004,2025-12-01 19:47:00,2025-12,Ezidox,CBA,Transaction Account,Full Banking Data,Retail,Mobile App,iOS,Password,OAuth Redirect,Y,Y,Completed,Completed,347,312,2025-12-01 19:52:12,365,v1.27,
100005,CONS-2025-000005,2025-04-11 13:15:00,2025-04,illion,AMP Bank,Transaction Account,Full Banking Data,Retail,Mobile App,Android,Biometric,App-to-App,Y,Y,Completed,Completed,357,269,2025-04-11 13:19:29,365,v1.27,
100006,CONS-2025-000006,2025-09-08 22:42:00,2025-09,Intuit,ANZ,Transaction Account,Full Banking Data,Retail,Mobile App,Android,Password,OAuth Redirect,Y,Y,Completed,Completed,109,76,2025-09-08 22:43:16,365,v1.27,
100007,CONS-2025-000007,2025-08-14 19:30:00,2025-08,Basiq,Westpac,Personal Loan,Accounts + Transactions,Retail,Web,Desktop,Password,OAuth Redirect,Y,Y,Abandoned,Consent Confirmation,97,,,180,v1.27,User cancelled
100008,CONS-2025-000008,2025-06-26 20:11:00,2025-06,Adatree,Bendigo Bank,Credit Card,Loans + Repayments,Retail,Mobile App,iOS,Biometric,QR Web-to-App,Y,Y,Completed,Completed,317,204,2025-06-26 20:14:24,180,v1.28,
100009,CONS-2025-000009,2025-02-08 20:33:00,2025-02,Yodlee,NAB,Savings Account,Accounts + Balances,High Net Worth,Web,Desktop,Biometric,App-to-App,Y,Y,Completed,Completed,226,190,2025-02-08 20:36:10,90,v1.28,
100010,CONS-2025-000010,2025-03-16 23:22:00,2025-03,Adatree,Bendigo Bank,Transaction Account,Accounts + Transactions,Small Business,Mobile App,Android,Biometric,OAuth Redirect,Y,Y,Completed,Completed,371,307,2025-03-16 23:27:07,90,v1.28,
100011,CONS-2025-000011,2025-01-19 23:43:00,2025-01,Adatree,ANZ,Transaction Account,Accounts + Balances,Retail,Third-Party App,iOS,Password,OAuth Redirect,Y,Y,Completed,Completed,75,64,2025-01-19 23:44:04,180,v1.28,
100012,CONS-2025-000012,2025-08-25 18:44:00,2025-08,Basiq,ANZ,Transaction Account,Cards + Transactions,Retail,Mobile App,Android,Password,App-to-App,Y,Y,Completed,Completed,254,178,2025-08-25 18:46:58,365,v1.27,
100013,CONS-2025-000013,2025-10-10 22:13:00,2025-10,Frollo,Macquarie,Transaction Account,Accounts + Transactions,Retail,Mobile App,iOS,Password,App-to-App,Y,N,Abandoned,OTP,545,,,365,v1.27,OTP timeout
100014,CONS-2025-000014,2025-05-06 01:47:00,2025-05,Ezidox,ANZ,Savings Account,Accounts + Transactions,High Net Worth,Web,Desktop,Biometric,QR Web-to-App,Y,N,Abandoned,OTP,678,,,180,v1.28,OTP timeout
100015,CONS-2025-000015,2025-10-05 00:52:00,2025-10,Adatree,CBA,Savings Account,Cards + Transactions,Retail,Mobile App,iOS,Password,App-to-App,Y,Y,Completed,Completed,266,250,2025-10-05 00:56:10,180,v1.28,
100016,CONS-2025-000016,2025-03-20 22:53:00,2025-03,Regional Australia Bank,Westpac,Savings Account,Cards + Transactions,Retail,Third-Party App,iOS,Biometric,App-to-App,Y,Y,Completed,Completed,326,214,2025-03-20 22:56:34,365,v1.27,
100017,CONS-2025-000017,2025-01-06 17:23:00,2025-01,NextGen,ING,Transaction Account,Accounts + Balances,Small Business,Mobile App,iOS,Biometric,OAuth Redirect,Y,Y,Completed,Completed,159,119,2025-01-06 17:24:59,365,v1.28,
100018,CONS-2025-000018,2025-08-19 05:10:00,2025-08,Yodlee,Macquarie,Home Loan,Cards + Transactions,Retail,Mobile App,iOS,Biometric,QR Web-to-App,Y,Y,Completed,Completed,125,100,2025-08-19 05:11:40,90,v1.28,
100019,CONS-2025-000019,2025-08-29 08:17:00,2025-08,Frollo,ING,Personal Loan,Accounts + Balances,Retail,Web,Desktop,Biometric,OAuth Redirect,Y,Y,Completed,Completed,127,79,2025-08-29 08:18:19,90,v1.27,
100020,CONS-2025-000020,2025-06-15 15:36:00,2025-06,Basiq,CBA,Credit Card,Accounts + Balances,Retail,Mobile App,Android,Biometric,OAuth Redirect,Y,Y,Abandoned,Account Selection,628,,,365,v1.27,Session timeout
100021,CONS-2025-000021,2025-06-24 06:53:00,2025-06,Frollo,ANZ,Savings Account,Accounts + Balances,Small Business,Third-Party App,iOS,Password,App-to-App,Y,Y,Expired,Consent Review,136,,,90,v1.27,Consent expired
100022,CONS-2025-000022,2025-07-28 07:02:00,2025-07,Adatree,AMP Bank,Transaction Account,Full Banking Data,Retail,Mobile App,Android,Password,App-to-App,Y,Y,Completed,Completed,230,137,2025-07-28 07:04:17,180,v1.27,
